IDS,1,2,3,7,9,11,12,13,15,16,18,19,20,25,26,29,31,32,34,36,37,38,39,45,50,51,52,53,54,55,56,57,60,61,62,64,65,66,67,69,74,76,77,78,79,80,81,83,85,87,89,90,91,92,98,99,101,103,104,105,106,107,109,111,113,114,115,116,122,125,127,128,131,132,133,134,135,136,138,141,142,143,144,147,148,152,153,154,158,162,163,164,168,169,172,175,178,180,181,182,183,185,189,190,193,194,195,196,197,198,200,201,202,203,204,205,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,227,228,229,230,231,237,238,239,240,241,242,243,244,245,246,247,248,249,250,252,253,254,257,258,260,262,264,269,270,273,275,276,278,279,280,282,284,287,288,289,291,295,297,298
1,0,153411,153064,153056,153234,154086,153234,153234,153234,153947,153589,153618,151213,152991,153389,155621,148697,148697,153913,153773,153018,153018,153229,153564,152684,153047,153070,153122,153067,153523,157812,152577,153391,153156,153136,153479,153108,153825,138518,153337,152787,146580,152780,153412,153443,153392,153432,153418,153392,153478,153383,153432,152277,153026,153301,153231,152549,153540,153615,153243,136937,153579,152628,156369,138909,153214,153060,152677,153384,153442,153330,153187,153072,153071,153058,152999,153085,153429,146192,148964,148184,153593,156033,137600,146991,153582,153512,153561,148415,153600,153516,153174,147306,152750,153602,153300,153491,153236,153466,153390,147352,156747,154031,154561,152988,153034,153008,153008,152942,153046,152991,152978,153034,153030,152987,152987,152912,153058,153028,152994,153006,153034,152989,153028,153035,153010,152944,152948,153010,153035,153006,153014,153035,153613,153681,153072,153070,153079,153275,153514,153293,153243,153126,153093,153158,154255,153827,153819,146353,150392,150493,150429,150387,150396,150491,150406,153280,152463,153443,153291,153443,153269,153257,153246,153272,153291,153389,153400,153289,152405,153112,152787,152390,153016,152152,153250,152283,151990
2,153411,0,130803,135516,131595,141239,131557,131557,131558,141499,101080,101361,148771,88168,131184,151688,150040,149949,104361,147589,87951,87901,130979,101923,105637,130683,130641,130759,130691,106434,147786,107065,90671,130766,130821,100446,106914,102040,146369,93181,91211,154533,100891,89656,90061,89939,89857,89969,89909,89917,90108,90127,135223,108817,98238,97496,103818,89015,89063,97673,153441,114623,104531,151455,146342,131225,130778,98662,132884,103578,100423,130691,88128,87964,88149,88013,81370,97119,154401,154713,155393,125543,143718,146058,138677,113646,113614,113493,122342,112965,112680,130889,138715,108834,103517,96693,92275,92730,110372,113875,138783,140228,137816,133988,87883,87659,87749,88025,87798,88193,87534,87904,87662,87910,88405,87813,87662,87890,88063,87663,87804,87554,87820,88050,87598,87825,88105,88025,87878,88011,87949,87612,87808,95133,106146,130657,130620,130705,92895,90365,110712,110351,110577,130781,130752,114125,108669,108679,139192,111611,112021,111491,111589,111111,111745,111549,149979,151699,91578,92645,91557,92442,92461,92458,92761,92639,91683,91546,92452,105222,113760,135860,106347,106911,96322,131630,150863,117656
3,153064,130803,0,142610,52574,74228,52567,52629,52629,74177,131837,132256,151770,127742,54997,152823,152153,152150,131974,150152,127403,127403,74021,131686,127882,21402,21237,22303,21544,131672,154123,129075,129157,27303,27401,131448,128097,130774,147329,128334,123939,153875,124601,127367,127540,127436,127537,127628,127436,127387,127389,127421,142140,121680,130044,129816,118591,129743,129998,129560,153247,124547,127051,153666,147348,42753,21416,124043,143474,128207,130864,52456,127492,127402,127455,127351,127197,130445,153500,153976,154922,140108,149191,147346,142660,123696,123803,123454,124875,122985,122930,27969,142878,121827,132056,129576,129946,128274,121139,125218,142635,149172,143188,147220,127359,127498,127405,127408,127513,127381,127441,127408,127495,127522,127889,127416,127495,127512,127463,127435,127319,127464,127530,127423,127465,127551,127425,127573,127496,127499,127477,127486,127562,130573,130902,21444,21215,21257,128180,130122,122043,121800,122022,21732,21324,135928,133429,133127,144071,137053,137341,137089,137066,137176,137106,137122,149968,152668,129286,130369,129238,130254,130230,130243,130348,130369,129256,129291,130247,128762,123730,143064,128612,118820,126025,54612,152055,137926
7,153056,135516,142610,0,142995,150728,142995,142995,142996,150771,138638,138740,154112,135715,143086,153348,154971,154937,135908,151282,135424,135424,143023,138551,128101,142661,142586,142635,142640,135634,152087,130113,136232,142639,142615,138204,135909,134411,146492,129212,135408,153648,137790,131492,131662,131474,131533,131526,131474,131571,131634,131520,67583,139950,133885,133655,138867,136724,137152,134157,154734,142059,126993,154870,146610,142725,142682,137171,142426,138258,134896,142915,135438,135502,135498,135471,135374,138735,153624,152821,153861,143116,150964,146505,148323,141729,141749,141614,136616,141721,141485,142732,148116,140506,138903,133483,136972,129058,140693,140591,147971,150642,145123,148147,135406,135439,135355,135393,135406,135471,135290,135386,135395,135451,135647,135469,135394,135476,135388,135299,135381,135285,135468,135388,135303,135429,135410,135405,135458,135507,135537,135380,135440,137852,137139,142602,142612,142592,129020,137449,140367,140238,140318,142600,142666,139484,137955,137827,148335,138000,137947,138013,137771,137733,138013,138059,153113,152882,136215,137044,136160,137055,137053,137027,137148,137038,136249,136336,137028,129571,141108,17708,129448,139506,134049,143234,151426,137785
9,153234,131595,52574,142995,0,46715,23875,23878,23887,47520,133234,133475,151831,129383,69517,152907,152235,152233,133391,150237,129237,129217,84658,133203,129103,52868,52541,53343,53123,132969,154563,130415,130791,53003,53047,132905,129414,131899,147646,130289,125902,154001,126776,129381,129459,129347,129509,129472,129348,129361,129355,129341,143004,123737,131125,130974,121139,131221,131471,131058,153431,126642,128551,153570,147572,59733,53017,126003,144384,129813,131780,67532,129272,129228,129345,129323,128824,132335,153750,153943,154975,140865,149223,147615,143008,125941,126040,125862,127189,125379,125358,53471,143363,124129,133561,130892,131246,130222,123877,127353,143151,149547,143520,147767,129171,129220,129222,129312,129178,129297,129119,129209,129217,129254,129526,129234,129266,129207,129238,129156,129162,129142,129276,129281,129143,129297,129213,129304,129258,129273,129287,129183,129238,131994,132158,52593,52565,52402,130125,131268,124215,123941,124124,53515,52649,136728,134676,134387,144260,137910,138137,137920,137921,138177,137983,137953,149883,152722,130625,131569,130625,131414,131410,131400,131521,131569,130650,130600,131404,129920,125819,143613,129863,121550,127579,30315,152080,138623
11,154086,141239,74228,150728,46715,0,46712,46681,46710,48408,143023,143259,156717,139802,89616,156166,152340,152338,142958,154179,139792,139792,102202,142902,139413,74561,74191,75004,74806,142766,156837,140484,141181,74294,74380,142640,140458,141964,153815,140805,137444,158038,137381,140003,140050,139997,140081,140077,139998,139971,139990,140006,151213,135734,141388,141332,133759,141695,141796,141385,158092,138020,138996,157519,153775,80621,74640,137689,152002,140569,141770,87977,139818,139795,139872,139866,139431,142186,157721,158149,155232,148508,153500,153830,149124,137165,137254,137173,139313,137093,137032,74662,149275,136403,143144,141295,141462,140824,135835,138171,149186,154743,148940,147834,139725,139772,139776,139844,139730,139852,139694,139763,139769,139804,139974,139790,139799,139746,139791,139707,139718,139694,139807,139814,139695,139847,139722,139853,139806,139834,139798,139735,139790,142151,142101,74193,74198,74033,140749,141369,135733,135563,135667,75066,74339,145574,144030,143828,150147,146869,147014,146859,146894,147054,146891,146892,153866,156640,141097,141870,141113,141745,141743,141755,141869,141870,141119,141057,141739,140269,137166,151361,140174,133887,138172,53230,156070,146847
12,153234,131557,52567,142995,23875,46712,0,23857,23885,47507,133240,133481,151831,129395,69511,152907,152228,152226,133401,150237,129255,129235,84632,133195,129084,52861,52535,53334,53116,132956,154563,130430,130771,52980,53030,132898,129379,131895,147646,130272,125882,153978,126790,129377,129455,129343,129505,129468,129344,129357,129351,129337,143004,123749,131114,130963,121119,131201,131451,131045,153448,126615,128549,153570,147572,59792,53013,126015,144384,129822,131789,67532,129290,129246,129363,129341,128804,132325,153720,153913,154968,140833,149283,147615,143002,125957,126056,125878,127164,125372,125351,53430,143357,124158,133521,130887,131239,130206,123870,127316,143145,149547,143500,147747,129189,129238,129240,129330,129196,129315,129137,129227,129235,129272,129544,129252,129284,129225,129256,129174,129180,129160,129294,129299,129161,129315,129231,129322,129276,129291,129305,129201,129256,132003,132145,52587,52559,52396,130108,131288,124179,123905,124088,53480,52633,136753,134663,134374,144289,137910,138137,137920,137921,138177,137983,137932,149863,152722,130614,131558,130615,131404,131400,131390,131511,131558,130640,130590,131394,129918,125812,143613,129861,121547,127559,30277,152080,138603
13,153234,131557,52629,142995,23878,46681,23857,0,23884,47535,133240,133481,151831,129372,69600,152907,152228,152226,133401,150237,129226,129206,84628,133195,129104,52923,52585,53396,53185,132956,154563,130424,130791,53015,53081,132898,129359,131915,147646,130292,125902,153958,126810,129377,129455,129343,129505,129468,129344,129357,129351,129337,143004,123772,131115,130963,121145,131201,131451,131067,153448,126635,128573,153570,147572,59825,53075,126035,144364,129822,131809,67518,129261,129217,129334,129312,128824,132304,153720,153912,154988,140833,149283,147615,143002,125957,126056,125878,127184,125372,125351,53481,143357,124178,133541,130887,131239,130226,123850,127316,143145,149547,143500,147747,129160,129209,129211,129301,129147,129286,129108,129198,129206,129243,129515,129223,129255,129196,129227,129123,129151,129131,129265,129270,129132,129266,129202,129293,129247,129262,129276,129172,129227,131983,132145,52637,52609,52446,130128,131268,124179,123885,124068,53542,52713,136724,134663,134374,144289,137910,138137,137920,137921,138177,137983,137932,149863,152722,130634,131578,130635,131424,131420,131410,131531,131578,130660,130610,131414,129918,125772,143613,129859,121570,127539,30339,152080,138603
15,153234,131558,52629,142996,23887,46710,23885,23884,0,47521,133240,133481,151833,129373,69549,152911,152249,152247,133402,150237,129227,129207,84641,133195,129085,52923,52601,53396,53178,132957,154563,130431,130771,53033,53098,132898,129380,131896,147646,130273,125883,153978,126791,129378,129456,129344,129506,129469,129345,129358,129352,129338,143005,123749,131115,130964,121149,131202,131452,131046,153448,126666,128550,153570,147572,59850,53091,126015,144384,129823,131790,67554,129262,129218,129335,129313,128805,132305,153720,153913,154968,140834,149284,147615,143002,125988,126087,125909,127183,125403,125382,53499,143358,124185,133521,130888,131240,130207,123901,127345,143145,149547,143500,147748,129161,129210,129212,129302,129168,129287,129109,129199,129207,129244,129516,129224,129256,129197,129228,129146,129152,129132,129266,129271,129133,129287,129203,129294,129248,129263,129277,129173,129228,132003,132146,52653,52625,52462,130109,131269,124199,123925,124108,53558,52719,136725,134664,134375,144289,137910,138137,137920,137921,138177,137983,137932,149863,152722,130614,131558,130615,131404,131400,131390,131511,131558,130640,130590,131394,129919,125843,143614,129862,121578,127560,30332,152085,138604
