IDS,25,32,39,67,76,92,105,106,107,111,113,131,133,138,142,147,148,152,158,193,203,213,223,241,280,287
25,0,148529,127481,145371,153900,102617,89788,152590,107328,150665,145384,8135,8192,153546,154681,145151,136377,105708,116755,8614,9311,8184,8594,127160,85111,135478
32,148529,0,151843,151922,141984,149599,149549,150801,150006,130275,152083,148527,148505,138737,147928,152146,137503,149589,152979,148508,148524,148445,148500,151612,150594,154623
39,127481,151843,0,146933,153542,121783,129524,152658,124581,152770,146917,127217,127251,153168,154149,147146,142543,123715,125259,127021,127148,127139,127163,74084,129894,142644
67,145371,151922,146933,0,146481,144482,145752,143090,146188,149287,20296,145338,145326,145822,144115,55752,118436,146230,139866,145373,145365,145304,145303,146710,145371,145523
76,153900,141984,153542,146481,0,154227,154186,150199,154353,150147,146655,153852,153812,89288,130778,146468,149739,154196,150252,153745,153769,153751,153723,153329,154351,153078
92,102617,149599,121783,144482,154227,0,106671,152706,91948,150202,144751,102602,102537,154100,154300,144516,137360,92295,108405,102584,102732,102693,102629,121144,103837,139623
105,89788,149549,129524,145752,154186,106671,0,152805,111260,151375,145829,89366,89390,153872,155031,145507,138180,109496,119148,89661,89758,89552,89564,128835,95546,134233
106,152590,150801,152658,143090,150199,152706,152805,0,152642,147806,143682,152642,152684,149351,153233,142921,147898,152527,152586,152708,152719,152665,152699,152652,153248,154177
107,107328,150006,124581,146188,154353,91948,111260,152642,0,151191,146107,107148,107189,154078,155016,145968,138136,42311,92238,107196,107295,107239,107297,124198,110924,141461
111,150665,130275,152770,149287,150147,150202,151375,147806,151191,0,149473,150685,150644,149926,142889,148800,143872,151255,155362,150684,150744,150683,150706,153103,151041,154483
113,145384,152083,146917,20296,146655,144751,145829,143682,146107,149473,0,145400,145368,146191,144620,60254,119125,146329,139954,145434,145470,145429,145472,146749,145234,145699
131,8135,148527,127217,145338,153852,102602,89366,152642,107148,150685,145400,0,1,153519,154687,145131,136326,105922,116490,6296,6976,6041,6357,126841,84439,135303
133,8192,148505,127251,145326,153812,102537,89390,152684,107189,150644,145368,1,0,153446,154710,145138,136384,106023,116569,6503,7250,6340,6643,126824,84480,135412
138,153546,138737,153168,145822,89288,154100,153872,149351,154078,149926,146191,153519,153446,0,136702,145645,148960,153796,149655,153450,153451,153416,153405,153000,154238,153030
142,154681,147928,154149,144115,130778,154300,155031,153233,155016,142889,144620,154687,154710,136702,0,144065,152863,155091,152574,154694,154673,154632,154677,154439,154709,153093
147,145151,152146,147146,55752,146468,144516,145507,142921,145968,148800,60254,145131,145138,145645,144065,0,109396,145942,139577,145128,145183,145119,145144,146773,144587,145401
148,136377,137503,142543,118436,149739,137360,138180,147898,138136,143872,119125,136326,136384,148960,152863,109396,0,138085,143221,136434,136506,136421,136416,142077,137986,147970
152,105708,149589,123715,146230,154196,92295,109496,152527,42311,151255,146329,105922,106023,153796,155091,145942,138085,0,87781,105909,105998,105819,105977,123189,111131,141360
158,116755,152979,125259,139866,150252,108405,119148,152586,92238,155362,139954,116490,116569,149655,152574,139577,143221,87781,0,116639,116710,116666,116711,124568,120508,135289
193,8614,148508,127021,145373,153745,102584,89661,152708,107196,150684,145434,6296,6503,153450,154694,145128,136434,105909,116639,0,2011,1487,1834,126708,84687,135232
203,9311,148524,127148,145365,153769,102732,89758,152719,107295,150744,145470,6976,7250,153451,154673,145183,136506,105998,116710,2011,0,873,706,126871,84782,135274
213,8184,148445,127139,145304,153751,102693,89552,152665,107239,150683,145429,6041,6340,153416,154632,145119,136421,105819,116666,1487,873,0,536,126858,84686,135290
223,8594,148500,127163,145303,153723,102629,89564,152699,107297,150706,145472,6357,6643,153405,154677,145144,136416,105977,116711,1834,706,536,0,126931,84778,135263
241,127160,151612,74084,146710,153329,121144,128835,152652,124198,153103,146749,126841,126824,153000,154439,146773,142077,123189,124568,126708,126871,126858,126931,0,129636,142485
280,85111,150594,129894,145371,154351,103837,95546,153248,110924,151041,145234,84439,84480,154238,154709,144587,137986,111131,120508,84687,84782,84686,84778,129636,0,136848
287,135478,154623,142644,145523,153078,139623,134233,154177,141461,154483,145699,135303,135412,153030,153093,145401,147970,141360,135289,135232,135274,135290,135263,142485,136848,0
