IDS,25,32,39,67,76,92,105,106,107,111,113,131,133,138,142,147,148,152,158,193,203,213,223,241,280,287
25,0,381,872,332,197,1433,1606,184,1348,314,339,1359,1381,211,167,332,663,1432,1007,1384,1409,1399,1396,886,1587,590
32,381,0,274,237,523,347,351,315,333,703,232,382,383,601,316,227,715,347,224,382,381,386,383,283,314,172
39,872,274,0,350,219,993,810,215,914,249,356,875,872,233,195,336,513,983,938,883,880,881,879,1743,799,477
67,332,237,350,0,434,375,321,493,302,352,2247,332,333,460,524,2314,713,303,521,330,332,335,335,347,348,411
76,197,523,219,434,0,188,189,309,182,267,437,199,200,1523,497,441,333,188,335,203,202,203,204,226,183,232
92,1433,347,993,375,188,0,1361,180,1533,340,363,1420,1426,192,184,372,640,1582,996,1431,1424,1422,1424,983,1409,515
105,1606,351,810,321,189,1361,0,178,1257,292,325,1623,1623,201,156,324,604,1341,971,1610,1603,1607,1611,837,1464,587
106,184,315,215,493,309,180,178,0,182,385,469,182,180,344,244,504,318,189,190,179,177,180,178,213,168,167
107,1348,333,914,302,182,1533,1257,182,0,304,311,1346,1349,190,156,306,598,1751,948,1349,1341,1339,1341,906,1257,468
111,314,703,249,352,267,340,292,385,304,0,342,314,316,279,536,361,511,301,148,312,309,313,312,230,312,187
113,339,232,356,2247,437,363,325,469,311,342,0,336,338,452,507,2284,755,303,526,334,334,336,334,351,359,406
131,1359,382,875,332,199,1420,1623,182,1346,314,336,0,250,212,167,333,664,1415,1010,1174,1208,1173,1179,890,1604,591
133,1381,383,872,333,200,1426,1623,180,1349,316,338,250,0,215,166,333,663,1415,1011,1189,1212,1174,1183,888,1605,587
138,211,601,233,460,1523,192,201,344,190,279,452,212,215,0,540,468,361,201,354,215,215,217,217,238,187,233
142,167,316,195,524,497,184,156,244,156,536,507,167,166,540,0,528,222,153,241,166,167,169,167,183,173,233
147,332,227,336,2314,441,372,324,504,306,361,2284,333,333,468,528,0,56,307,535,333,332,335,334,341,377,417
148,663,715,513,713,333,640,604,318,598,511,755,664,663,361,222,56,0,602,404,660,658,662,663,522,621,319
152,1432,347,983,303,188,1582,1341,189,1751,301,303,1415,1415,201,153,307,602,0,1175,1422,1417,1419,1417,974,1269,482
158,1007,224,938,521,335,996,971,190,948,148,526,1010,1011,354,241,535,404,1175,0,1000,998,997,999,930,912,664
193,1384,382,883,330,203,1431,1610,179,1349,312,334,1174,1189,215,166,333,660,1422,1000,0,729,674,687,892,1590,597
203,1409,381,880,332,202,1424,1603,177,1341,309,334,1208,1212,215,167,332,658,1417,998,729,0,488,419,887,1585,594
213,1399,386,881,335,203,1422,1607,180,1339,313,336,1173,1174,217,169,335,662,1419,997,674,488,0,444,888,1592,594
223,1396,383,879,335,204,1424,1611,178,1341,312,334,1179,1183,217,167,334,663,1417,999,687,419,444,0,884,1587,595
241,886,283,1743,347,226,983,837,213,906,230,351,890,888,238,183,341,522,974,930,892,887,888,884,0,815,481
280,1587,314,799,348,183,1409,1464,168,1257,312,359,1604,1605,187,173,377,621,1269,912,1590,1585,1592,1587,815,0,568
287,590,172,477,411,232,515,587,167,468,187,406,591,587,233,233,417,319,482,664,597,594,594,595,481,568,0
